Comment number,class,comment,processed_comment
3549.0,1.0,@JAYREIDOFFICIAL my nicca!,jayreidofficial nicca
3550.0,1.0,@JBilinovich @JZolly23 @cmnw86 You guys wanna skull Fuck some clay birds this weeknd???,jbilinovich jzolly23 cmnw86 guy wanna skull fuck clay bird weeknd
3551.0,0.0,@JGardenofEden @KySportsRadio @ryanlemond But...country music listeners really are hicks and alcoholics &#128514;&#128514;,jgardenofeden kysportsradio ryanlemond butcountry music listener really hick alcoholic 128514128514
3552.0,1.0,@JHafe big booty hoes!,jhafe big booty hoe
3553.0,1.0,"@JHannahhh oh you mean Noah zimmerman's cute ass &#128525;. I mean he should, he talks to his hoes all day everyday . &amp; his girl Courtney &#128514;&#128564; sooo",jhannahhh oh mean noah zimmermans cute as 128525 mean talk hoe day everyday amp girl courtney 128514128564 sooo
3554.0,2.0,@JLlVE looks prime for some trash pick up,jllve look prime trash pick
3555.0,0.0,@JMC2488 @jetsgreen @TB12FAN and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile,jmc2488 jetsgreen tb12fan fuck little bitch look like mexican sucking cock profile
3556.0,1.0,@JMuggaaa &#128527;&#128553;leezy got all the bitches,jmuggaaa 128527128553leezy got bitch
3557.0,1.0,@JNunchuckfuck u can just ask him to suck his dick not that hard white trash,jnunchuckfuck ask suck dick hard white trash
3558.0,0.0,@JOLTNG niger,joltng niger
3559.0,1.0,@JPERZELL shit pic master hoe protecting ass bow tie nigga,jperzell shit pic master hoe protecting as bow tie nigga
3560.0,0.0,"@JPantsdotcom @Todd__Kincannon @the__realtony I'm partial, faggot..homo...both fairly describes the same sick twisted Assholes out there.",jpantsdotcom toddkincannon therealtony im partial faggothomoboth fairly describes sick twisted asshole
3561.0,1.0,"@JPantsdotcom @Todd__Kincannon @the__realtony naaaaa, just popped across my TL, so I commented. But nice try faggot!",jpantsdotcom toddkincannon therealtony naaaaa popped across tl commented nice try faggot
3562.0,1.0,@JPerez003 teabaggers are anti American. Hows it feel to hate your country?,jperez003 teabaggers anti american hows feel hate country
3563.0,2.0,@JRealmo I don't think they believe in their communities ability to function w/out whitey. They choose to be hustled by big gov't...,jrealmo dont think believe community ability function wout whitey choose hustled big govt
3564.0,0.0,@JRise88 @G_Anderson4 what do you want fag,jrise88 ganderson4 want fag
3565.0,0.0,@JRise88 @LongLiveTylerD your a fag,jrise88 longlivetylerd fag
3566.0,1.0,@JRise88 do it then pussy,jrise88 pussy
3567.0,1.0,@JRise88 ill fuck you til you love me faggot,jrise88 ill fuck til love faggot
3568.0,0.0,@JRise88 shut up you stupid bitch,jrise88 shut stupid bitch
3569.0,1.0,@JStac825 @ThatAngryNigga at least after nearly two decades of complete trash they put out ATYSYC to redeem themselves.,jstac825 thatangrynigga least nearly two decade complete trash put atysyc redeem
3570.0,1.0,@JStac825 @ThatAngryNigga these niggas must be deaf. When's the last time you heard a Roots song on the radio? Quest don't get bitches!,jstac825 thatangrynigga nigga must deaf whens last time heard root song radio quest dont get bitch
3571.0,2.0,@JStarrTweets I took it harder when Rivera retired. I'm not a Yankee fan but I have a lot of love and respect for em. Especially the core 4,jstarrtweets took harder rivera retired im yankee fan lot love respect em especially core 4
3572.0,2.0,@JStarrTweets my pops is from New York. My family is Yankee obsessed. My sister literally cried when she heard he was gonna,jstarrtweets pop new york family yankee obsessed sister literally cried heard going
3573.0,1.0,@JStarrTweets yeah wizards! Agent zero bitches,jstarrtweets yeah wizard agent zero bitch
3574.0,2.0,@JT_Cameron92 or your in the ghetto,jtcameron92 ghetto
3575.0,1.0,@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.,jtrevorhowerton hollyrfisher hilarious make teabaggers freak ill
3576.0,1.0,@JUSTLOVE_NOHATE @Me_NOindirect whole hoe outchea.......,justlovenohate menoindirect whole hoe outchea
3577.0,1.0,"@JUSxDOiT I was hangin' on them corners late Pockets wasn't straight, bitch! I ain't gon make it at this rate, dawg.. Know what I'm sayin?",jusxdoit hangin corner late pocket wasnt straight bitch aint gon make rate dawg know im sayin
3578.0,1.0,@JVP731 @keselowski @mattkenseth I would have loved to watch Newman bitch slap Johnson I'd pay to see that,jvp731 keselowski mattkenseth would loved watch newman bitch slap johnson id pay see
3579.0,1.0,@JZolly23 @HannahKubiak Everybody knows that bitches love mullets #Pantiedropin,jzolly23 hannahkubiak everybody know bitch love mullet pantiedropin
3580.0,1.0,@JZolly23 @JBilinovich we need to grow mullets together so we can get all the bitches and @HannahKubiak can hate on us,jzolly23 jbilinovich need grow mullet together get bitch hannahkubiak hate u
3581.0,1.0,@JZolly23 also is search of dirty white trash hookers for the weekends,jzolly23 also search dirty white trash hooker weekend
3582.0,1.0,@J_Dun54 awww shit lol I want my money too bitch. Who else I give one tO?,jdun54 awww shit laugh loud want money bitch else give one
3583.0,1.0,@J_Dun54 oh you little bitch you. You tryna hit the fair tho today or sometime this week? Shit might be fun drunk,jdun54 oh little bitch tryna hit fair tho today sometime week shit might fun drunk
3584.0,1.0,"@J_Fritzy @vivaalakatyy @Lompartayy @brotherbill7 @JHuff_5 bitch better back up, Katy's mine",jfritzy vivaalakatyy lompartayy brotherbill7 jhuff5 bitch better back katys mine
3585.0,1.0,"@J_Kwest No, Cpt Commando is a hoe and a cocksucker",jkwest cpt commando hoe cocksucker
3586.0,1.0,@J_Kwest when a bitch look his way http://t.co/VkdkoEKLxZ,jkwest bitch look way httptcovkdkoeklxz
3587.0,2.0,@J_Logan And you know best about the bird moves...!!!,jlogan know best bird move
3588.0,1.0,@J_Nastyy_ @Bum_Farto why would a white man even go to a nigger hell hole of Detroit? An I've worked in A town how. Y'all good niggers!,jnastyy bumfarto would white man even go nigger hell hole detroit ive worked town yall good nigger
3589.0,1.0,"@J__F__H Happy Another Group of 365 Days, you weird ass son of a bitch. That's why we all love you, though. Hoping there are riots in H-town",jfh happy another group 365 day weird as son bitch thats love though hoping riot htown
3590.0,1.0,"@JacobRyanBruhn Kiss these nuts, bitch!",jacobryanbruhn kiss nut bitch
3591.0,1.0,@JacobbBacker @fucktyler Tyler isn't shit faggot go listen to some real music,jacobbbacker fucktyler tyler isnt shit faggot go listen real music
3592.0,0.0,@JacobbBacker fag,jacobbbacker fag
3593.0,1.0,@JacobbBacker faggot,jacobbbacker faggot
3594.0,0.0,@JacobbBacker you don't know shit about me faggot bitch,jacobbbacker dont know shit faggot bitch
3595.0,1.0,@JacsonBevens @markkiszla absolutely retarded article http://t.co/3hSVTYOXFf,jacsonbevens markkiszla absolutely retarded article httptco3hsvtyoxff
3596.0,1.0,@JadeGreenleaf @DailySexSupply am i really a fag if I'm liking that video,jadegreenleaf dailysexsupply really fag im liking video
3597.0,0.0,@JadeGreenleaf fag,jadegreenleaf fag
3598.0,0.0,@JaiBrooks1 faggot,jaibrooks1 faggot
3599.0,0.0,@JaiBrooks1 not funny u faggot,jaibrooks1 funny faggot
3600.0,1.0,@JaiBrooks1 ugly goldigging cunt u probably have an uncircumcised penis faggot,jaibrooks1 ugly goldigging cunt probably uncircumcised penis faggot
3601.0,0.0,@JaiBrooks1 ur brother looks so queer and ugly,jaibrooks1 brother look queer ugly
3602.0,1.0,@JalenDGAF @CourtniClark &#128308;&#9899;&#65039;&#128308;&#9899;&#65039;&#128308;&#9899;&#65039; no pressure hoe,jalendgaf courtniclark 128308989965039128308989965039128308989965039 pressure hoe
3603.0,1.0,"@Jalenhendricks4 hoes saying ""eyebrows on fleek"" .. Search it on twitter",jalenhendricks4 hoe saying eyebrow fleek search twitter
3604.0,1.0,"@JamesOKeefeIII @jdhayworth James, nobody (save a couple illiterate, inbred teabagger morons) gives a flying fuck about your ""revelations.""",jamesokeefeiii jdhayworth james nobody save couple illiterate inbred teabagger moron give flying fuck revelation
3605.0,2.0,@JamesdaJewison &lt;&lt;BEST NAME ON TWITTER EVER!! AKA; Jewbacca&lt;&lt;SECOND BEST NAME ON TWITTER!!,jamesdajewison ltltbest name twitter ever aka jewbaccaltltsecond best name twitter
3606.0,1.0,@JamesyNBA damn your bitch really hoe'n for the F!!,jamesynba damn bitch really hoen f
3607.0,2.0,"@JamieWinn4 that's ""energy"" the City is ""Electric"" gotta go to Yankees Stadium, When they are winning. It is truly ""electrifying""",jamiewinn4 thats energy city electric gotta go yankee stadium winning truly electrifying
3608.0,1.0,@JaneyPew nigger you are bigger than I am. Do you even #R4aperSec ?,janeypew nigger bigger even r4apersec
3609.0,1.0,"@JarJar_Banks momma didn't raise no sukka, bitch!",jarjarbanks momma didnt raise sukka bitch
3610.0,1.0,@JaredReve use monkey maker you prick!,jaredreve use monkey maker prick
3611.0,1.0,@JasonAstley I hate that shit. Like bitch don't ask me for shit makin me waste my time and your dumb ass ain't even using it.,jasonastley hate shit like bitch dont ask shit makin waste time dumb as aint even using
3612.0,0.0,"@JasonMoriarty13 I remember his nephew Lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &#128514;&#128557; dans so funny.",jasonmoriarty13 remember nephew lucas cry dan saying quit pussy grow pair something 128514128557 dans funny
3613.0,1.0,@JavelinaBlue @mdjacksondallas @KennettDems yep. Texas is redneck heaven.,javelinablue mdjacksondallas kennettdems yep texas redneck heaven
3614.0,1.0,@JavieTheCreator @its_selenaaaa haha yuhh that hoe was funny,javiethecreator itsselenaaaa haha yuhh hoe funny
3615.0,1.0,@JavieTheCreator stank ass hoes haha,javiethecreator stank as hoe haha
3616.0,1.0,@JawShoeeAhhh *bitch,jawshoeeahhh bitch
3617.0,1.0,@JawShoeeAhhh @FabianMleal fuck you bitch lol,jawshoeeahhh fabianmleal fuck bitch laugh loud
3618.0,1.0,@JawShoeeAhhh @FabianMleal shut up bitch,jawshoeeahhh fabianmleal shut bitch
3619.0,1.0,@JawShoeeAhhh @FabianMleal suck a dick hoe,jawshoeeahhh fabianmleal suck dick hoe
3620.0,1.0,@JawShoeeAhhh @greyyygoose @jehnayy you're gay bitch,jawshoeeahhh greyyygoose jehnayy youre gay bitch
3621.0,1.0,@JawShoeeAhhh @jehnayy no bitch lol,jawshoeeahhh jehnayy bitch laugh loud
3622.0,1.0,@JawShoeeAhhh @josecarcamo03 lmao you're on my timeline it ain't spying hoe lol,jawshoeeahhh josecarcamo03 laughing as youre timeline aint spying hoe laugh loud
3623.0,1.0,"@JawShoeeAhhh @keepitplur bitch you beat after losing twice lol and we won 11, you just a hater",jawshoeeahhh keepitplur bitch beat losing twice laugh loud 11 hater
3624.0,1.0,@JawShoeeAhhh bitch answer me lol,jawshoeeahhh bitch answer laugh loud
3625.0,1.0,@JawShoeeAhhh bitch you can't even say no lol,jawshoeeahhh bitch cant even say laugh loud
3626.0,1.0,@JawShoeeAhhh lmao you're a bitch boy,jawshoeeahhh laughing as youre bitch boy
3627.0,1.0,@JawShoeeAhhh lol thanks bitch hahah Vegas ain't ready for us lol,jawshoeeahhh laugh loud thanks bitch hahah vega aint ready u laugh loud
3628.0,1.0,@JawShoeeAhhh shut up bitch,jawshoeeahhh shut bitch
3629.0,1.0,@JawShoeeAhhh that don't mean you're not balling lol shut up hoe lol,jawshoeeahhh dont mean youre balling laugh loud shut hoe laugh loud
3630.0,1.0,@JawShoeeAhhh that means you're balling if you're Jewish lol I don't love hoes lol,jawshoeeahhh mean youre balling youre jewish laugh loud dont love hoe laugh loud
3631.0,1.0,@JawShoeeAhhh you're a bitch lol,jawshoeeahhh youre bitch laugh loud
3632.0,2.0,@JayJuice22 @Ish_MallyMal no song I've heard was good is what I mean by he's trash,jayjuice22 ishmallymal song ive heard good mean he trash
3633.0,1.0,"@JayKollsKSTP please tell those fuming cops that they are a bunch of coward little bitches, and should not be allowed near weapons. Thanks.",jaykollskstp please tell fuming cop bunch coward little bitch allowed near weapon thanks
3634.0,1.0,@Jaydillz they're both big bitches tho lol,jaydillz theyre big bitch tho laugh loud
3635.0,0.0,@Jaytwofly @G_MUCKA good leave you stupid faggot,jaytwofly gmucka good leave stupid faggot
3636.0,0.0,"@Jaytwofly huh, lol mad nigger is mad",jaytwofly huh laugh loud mad nigger mad
3637.0,1.0,@JayyRosayy you ain't got no hoes lil jess you're a lil guy,jayyrosayy aint got hoe lil jess youre lil guy
3638.0,1.0,"@Jazwau &#128528; who did you rob, them hoes like 4 online",jazwau 128528 rob hoe like 4 online
3639.0,1.0,@Jbrendaro30 @ZGabrail @ramsin1995 @GabeEli8 @Jacob2times bitch ass nigggaaa,jbrendaro30 zgabrail ramsin1995 gabeeli8 jacob2times bitch as nigggaaa
3640.0,1.0,"@JedZiggler I say it all the time same with fag and queer it's all about the context I suppose, some people are just looking to get offended",jedziggler say time fag queer context suppose people looking get offended
3641.0,1.0,@JefDaBest: The fact this bird ass nigga took my phone and did a light skin pose in school @Mrste617 smh lol http://t.co/Zd3vctXGXh,jefdabest fact bird as nigga took phone light skin pose school mrste617 shaking head laugh loud httptcozd3vctxgxh
3642.0,1.0,@JeffBlogwell time to call hoes,jeffblogwell time call hoe
3643.0,1.0,@JennaHord12 Feels like it's been a year since I seen ya queer lolol,jennahord12 feel like year since seen queer lolol
3644.0,1.0,@JennaHord12 Nooo Amber's supposed to kill me fag,jennahord12 nooo amber supposed kill fag
3645.0,2.0,@JennyJohnsonHi5 Did you say spray tan? **Charlie Crist switches back to Republican**,jennyjohnsonhi5 say spray tan charlie crist switch back republican
3646.0,1.0,@JennyMcCarthy don't let idiots that can't even spell retarded get you down.,jennymccarthy dont let idiot cant even spell retarded get
3647.0,1.0,@JennyReyes42 @iamadamg_ awwe i love you too jenny! Your so damn perf &amp; NOT ugly. Seriously dis bitch must be blind!,jennyreyes42 iamadamg awwe love jenny damn perf amp ugly seriously dis bitch must blind
3648.0,2.0,"@JennyTripleTit it's also a bird, a city, and a math theorem. I make no assumptions!",jennytripletit also bird city math theorem make assumption
3649.0,1.0,@JerGucci I can trap anywhere I wanna just because I ain't a bitch n in rarely solo.,jergucci trap anywhere wanna aint bitch n rarely solo
3650.0,1.0,@JerGucci go on Craigslist bitches be on there &#128514;&#128514;,jergucci go craigslist bitch 128514128514
3651.0,1.0,@JerGucci my luck the bitch gonna drug me an I won't even kno what happened lmao,jergucci luck bitch going drug wont even kno happened laughing as
3652.0,1.0,@JerGucci she can suck dick tho that's better than brownies,jergucci suck dick tho thats better brownie
3653.0,1.0,@JerGucci ur avi prolly shoot dust out your phone cuz that shit so old u cat fishing the bitches on here lmao,jergucci avi prolly shoot dust phone shit old cat fishing bitch laughing as
3654.0,1.0,@JeremyAdams_ you're a bitch,jeremyadams youre bitch
3655.0,1.0,@JermsAllOver I can't be homeless in 2014.... but them bitches better not slip in 2015,jermsallover cant homeless 2014 bitch better slip 2015
3656.0,1.0,@JesseAbrego bitch I might be,jesseabrego bitch might
3657.0,1.0,@Jessycaa_Rubi @O_ShitItsLaura Bitch you just an inch taller than me &#128079;&#128079; &amp; we normal height Jessyca and Daysi are just some short bitches &#128514;,jessycaarubi oshititslaura bitch inch taller 128079128079 amp normal height jessyca daysi short bitch 128514
3658.0,0.0,@JewelsAndDrugs9 @ladygaga @madonna lmao madonnas music sucks? yeah you're fucking stupid if you think gaga is better. retard,jewelsanddrugs9 ladygaga madonna laughing as madonna music suck yeah youre fucking stupid think gaga better retard
3659.0,1.0,"@JfromHuntington #Savages 
Day is like coloreds dat wrap day hoes like mummies",jfromhuntington savage day like colored dat wrap day hoe like mummy
3660.0,1.0,"@JfromHuntington @thatUPSdude &lt;
I hates to interject but cans I have yo digits? I likes wiggers dat wanna be fucked by coloreds",jfromhuntington thatupsdude lt hate interject can hey digit like wiggers dat wanna fucked colored
3661.0,0.0,@JimBoberson happy birthday faggot,jimboberson happy birthday faggot
3662.0,1.0,@JimNastikowski @3Quarters2Day ? Are you a race traitor or just a dumbass?,jimnastikowski 3quarters2day race traitor dumbass
3663.0,1.0,@JimNorton Hey Jim you'll love this http://www.wwtdd.com/2010/05/gabourey-sidibe-is-a-complete-bitch/,jimnorton hey jim youll love httpwwwwwtddcom201005gaboureysidibeisacompletebitch
3664.0,1.0,"@JimmyMcIver @jerrilyn71 @Doc_68W_ Just like ""FAT CHICKS NEED LOVE TOO"" I guess. 
Some Jeffrey Dommer Type would be all over that sloppy ho.",jimmymciver jerrilyn71 doc68w like fat chick need love guess jeffrey dommer type would sloppy ho
3665.0,0.0,"@JizzAtTheScene and how am I assume shit 
,hmm cuz u don't know what fuck u talking about crackers these days.",jizzatthescene assume shit hmm dont know fuck talking cracker day
3666.0,2.0,@JjLoveUp tranny,jjloveup tranny
3667.0,1.0,@Jo_clark6 @breezysofresh24 no homo bro love ya to!! Lets get some 151 an some Malibu rum!! Tech 9 this bitch haha,joclark6 breezysofresh24 homo brother love let get 151 malibu rum tech 9 bitch haha
3668.0,1.0,@Jo_clark6 @pache16 @PcktSizeCae an just don't be a hoe about it! Haha,joclark6 pache16 pcktsizecae dont hoe haha
3669.0,1.0,"@Joan_Rivers Bitch you old ass mushroom ass bitch looking like a moldy ass toe wobbly raggedy ass vagina face BYE

http://t.co/LTi96AZjwk",joanrivers bitch old as mushroom as bitch looking like moldy as toe wobbly raggedy as vagina face bye httptcolti96azjwk
3670.0,1.0,@Jobbe03 @PandaEnchilada You're such a bitch Carlton. You're lucky your fathers a judge.,jobbe03 pandaenchilada youre bitch carlton youre lucky father judge
3671.0,1.0,"@Jobbe03 You need to insert a chill pill up your ass. Twice a day until your bitch assness goes away. If the problem persists, see a doctor.",jobbe03 need insert chill pill as twice day bitch assness go away problem persists see doctor
3672.0,1.0,@JoeBiden is such a retard! &#8220;@irritatedwoman: Biden Calls Himself &#8216;White Boy&#8217; in Meeting With Black Pastors http://t.co/bqx1IEv0wD&#8221;,joebiden retard 8220irritatedwoman biden call 8216white boy8217 meeting black pastor httptcobqx1iev0wd8221
3673.0,0.0,@JoeDouglas1 I guess blaspheme to your Allah is ok if your pos muzzie huh? @JewJitsuGrl @efilnikcufecin7 @Darknight420,joedouglas1 guess blaspheme allah ok po muzzie huh jewjitsugrl efilnikcufecin7 darknight420
3674.0,0.0,@JoeDouglas1 sit down and stfu raghead @Darknight420 @hajihuntingpat,joedouglas1 sit stfu raghead darknight420 hajihuntingpat
3675.0,1.0,@JoePrich shut up faggot,joeprich shut faggot
3676.0,1.0,@JoeTheMailman @emilyrs But that bitch could care less about Benghazi victims!,joethemailman emilyrs bitch could care less benghazi victim
3677.0,1.0,@Joe_Schmucc Dog Government jobs is the SHIT. I done got my last few off that bitch.,joeschmucc dog government job shit done got last bitch
3678.0,0.0,@Joey_D26 sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag,joeyd26 sweet comeback fuckin herb dnt watch soccer id still wax bitch as go swallow red soxs kid nyc fag
3679.0,1.0,@Joey_D26 you're such a pussy,joeyd26 youre pussy
3680.0,1.0,"@JohnColeGlover is big cat a ""fat pussy"" joke?",johncoleglover big cat fat pussy joke
3681.0,1.0,@JohnFaheyIII go eat bear shit you fuckin yokel,johnfaheyiii go eat bear shit fuckin yokel
3682.0,1.0,@John_Mayer_69 @Biggg_Mackkk dont talk to your hoe that way,johnmayer69 bigggmackkk dont talk hoe way
3683.0,1.0,@JohnnnyAmor lol wyo bitch,johnnnyamor laugh loud wyo bitch
3684.0,2.0,@Johnny3_ @HPGuilty trash ain't it,johnny3 hpguilty trash aint
3685.0,2.0,@JonJ_07 like their players really been talking trash about Bama.,jonj07 like player really talking trash bama
3686.0,1.0,@JonJanke @Deadspin @jtrimbl3 You sound like you're pussy whooped. #freelikeabird,jonjanke deadspin jtrimbl3 sound like youre pussy whooped freelikeabird
3687.0,1.0,"@JonJanke @jtrimbl3 You're a sensitive, pussy whooped, no sense of humor, neo zoom maxi dweeb. Now sit your ass all the way down.",jonjanke jtrimbl3 youre sensitive pussy whooped sense humor neo zoom maxi dweeb sit as way
3688.0,2.0,@JonahNRO No good options left indeed. This president makes Jimmy Carter look like a piker. So sad.,jonahnro good option left indeed president make jimmy carter look like piker sad
3689.0,1.0,@JonnVercetti true but then again I'm my opinion a hoe is someone who goes and sleeps with everybody,jonnvercetti true im opinion hoe someone go sleep everybody
3690.0,2.0,@JonnieSantana He's definitely trash. But if Bill Cohwer or Stanford 's head coach want the job I'd hire them. With a new gm of course,jonniesantana he definitely trash bill cohwer stanford head coach want job id hire new gm course
3691.0,1.0,@Jontel_20 &#128557; pussy,jontel20 128557 pussy
3692.0,1.0,@JoriBunni he talkin bout we wanna be human and I'm just like .... bitch whet?,joribunni talkin bout wanna human im like bitch whet
3693.0,1.0,@JoseRvmirez I'm a lil nigga?? Wait till you see nigga. You ain't ready. I'm from Chicago boy I ain't no pussy from the burbs. Just wait,joservmirez im lil nigga wait till see nigga aint ready im chicago boy aint pussy burbs wait
3694.0,1.0,@JosesitoRiveraa fuck no faggot,josesitoriveraa fuck faggot
3695.0,2.0,@Josh_Ward thuggery? Cheating? Talking trash? Who's doing that besides Jameis? And isn't ND in the middle of cheating issues?,joshward thuggery cheating talking trash who besides jameis isnt nd middle cheating issue
3696.0,2.0,"@Jpizzle651 I didn't really have one, was aware of Yankees, but always loved Dodgers uniform!",jpizzle651 didnt really one aware yankee always loved dodger uniform
3697.0,2.0,"@JuMosq @zachkruse2 Yep. *sobs*

I got my hopes up when a couple of the national guys (including that Kiper/McShay mock) had him slipping.",jumosq zachkruse2 yep sob got hope couple national guy including kipermcshay mock slipping
3698.0,1.0,@JuanDaMeskin you wouldn't last a day there hoe.,juandameskin wouldnt last day hoe
3699.0,1.0,"@JuanNDaCut @ShareA40Ounce she playin pussy hole bingo.
She drawing the next number",juanndacut sharea40ounce playin pussy hole bingo drawing next number
3700.0,0.0,"@JuanYeeze damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?",juanyeeze damn took dumb spic nearly 2 day respond wuz really good tho beaner
3701.0,0.0,"@JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull",juanyeeze shut hey beaner as spic hop faggot as back across border little nigga go listen pitbull
3702.0,2.0,@JudgmentalNYer @eveisapisces it always looks so nice! I was gonna buy this yellow one,judgmentalnyer eveisapisces always look nice going buy yellow one
3703.0,1.0,@JuiceMan_LTF shut up pussy,juicemanltf shut pussy
3704.0,1.0,@Juice__2 faggot,juice2 faggot
3705.0,1.0,@Juice__2 i know bout yo wack ass dreads nigger,juice2 know bout hey wack as dread nigger
3706.0,1.0,@Juice__2 nah you're a nigger,juice2 youre nigger
3707.0,1.0,@JuiciStrawberry Kik is for hoes.You either gone shit or get off the pot.,juicistrawberry kik hoesyou either gone shit get pot
3708.0,1.0,@Juicy_james01 ain't no love 4 these hoes,juicyjames01 aint love 4 hoe
3709.0,1.0,@JukeJuke_9 shit he prolly is other than that everybody else trash,jukejuke9 shit prolly everybody else trash
3710.0,1.0,@JulesDanesy Cowboys fans are cunts? Stop the presses!,julesdanesy cowboy fan cunt stop press
3711.0,1.0,@JuliaDBrock Are we still talking about animals? I know some Asian folks that would love to see how you prepare your pussy before eating it.,juliadbrock still talking animal know asian folk would love see prepare pussy eating
3712.0,1.0,@JuliaDBrock I'm not a bitch. Take it back.,juliadbrock im bitch take back
3713.0,1.0,@Julian_jval I totally think the something when bitches come across mine saying we are similar. Uh no &#9995;,julianjval totally think something bitch come across mine saying similar uh 9995
3714.0,1.0,@Juliet_Munguia bitch merry Christmas,julietmunguia bitch merry christmas
3715.0,1.0,@JunDishes amen little mama. y does this old southern country bitch like you so much I don't know. but I do!,jundishes amen little mama old southern country bitch like much dont know
3716.0,1.0,@JunDishes block or mute the cunt,jundishes block mute cunt
3717.0,2.0,"@JunDishes elissa would call me trash, vile, etc.!",jundishes elissa would call trash vile etc
3718.0,2.0,"@JunDishes get a can of WASP SPRAY. it shoots out 20 feet and cheaper than bear spay or mace, works just as good",jundishes get wasp spray shoot 20 foot cheaper bear spay mace work good
3719.0,1.0,@JunDishes or a southern bitch like me who will blow a persons heart out of their back w/one shot!!!!,jundishes southern bitch like blow person heart back wone shot
3720.0,1.0,"@JunDishes thank god I'm just an "" old redneck bitch"" from Memphis ,Tn. And not a troll",jundishes thank god im old redneck bitch memphis tn troll
3721.0,0.0,@JungleFeverFren fuck u nigger,junglefeverfren fuck nigger
3722.0,1.0,@JuniorMaye8 jus exsposin hoes on a whole different level &#128557;&#128514;,juniormaye8 jus exsposin hoe whole different level 128557128514
3723.0,1.0,"@JusDahl I want some.....I'm so damn tired of being in the fucking kitchen, a bitch is hot and needs a glass of wine and a back rub",jusdahl want someim damn tired fucking kitchen bitch hot need glass wine back rub
3724.0,1.0,"@JusDahl bitch, wake up!",jusdahl bitch wake
3725.0,1.0,"@JusDahl gross, ill stick with my galaxy, it will still receive those nips",jusdahl gross ill stick galaxy still receive nip
3726.0,1.0,@JusDahl not nappy head hoe though &#128514;&#128514;,jusdahl nappy head hoe though 128514128514
3727.0,1.0,@Juss_Vinny @kkarleigh if he wants bitches tip toein on his marble floors he will &#128521;,jussvinny kkarleigh want bitch tip toein marble floor 128521
3728.0,1.0,@JustCurrieOn @Christooshifty aint nobody asked yo faggot ass for a comment i know you peeped already you gay thats what u do for a living,justcurrieon christooshifty aint nobody asked hey faggot as comment know peeped already gay thats living
3729.0,2.0,@JustDoItSlow &#128530;FOREVER 21 hoes,justdoitslow 128530forever 21 hoe
3730.0,1.0,@JustDoItSlow on sale ass hoes,justdoitslow sale as hoe
3731.0,1.0,@JustDoIt_Rob big titty bitch lmao fuck it good party,justdoitrob big titty bitch laughing as fuck good party
3732.0,1.0,"@JustFemaIe @CheatingAdvice 
Where the fuck were you this summer bitch?",justfemaie cheatingadvice fuck summer bitch
3733.0,1.0,@JustKarahn bye hoe,justkarahn bye hoe
3734.0,1.0,@JustKarahn dnt use my shit against me hoe,justkarahn dnt use shit hoe
3735.0,1.0,@JustKarahn negro please,justkarahn negro please
3736.0,1.0,@JustKarahn yes u hoe,justkarahn yes hoe
3737.0,2.0,@JustTooMuchCake Lmao. it bel ike that nowadays,justtoomuchcake laughing as bel ike nowadays
3738.0,1.0,@JustWordsx dont favorite me you faggot,justwordsx dont favorite faggot
3739.0,1.0,"@Just_this_time we need more opinionated bitches.

#MOAR",justthistime need opinionated bitch moar
3740.0,1.0,@Justin_Baez shut the fuck up faggot ass Knicks cock sucker your opinion is irrelevant fag,justinbaez shut fuck faggot as knicks cock sucker opinion irrelevant fag
3741.0,1.0,@Jwreich142 @SteveWorks4You teabaggers are extremely dumb...,jwreich142 steveworks4you teabaggers extremely dumb
3742.0,1.0,@KASSIGOD drinking away this stress. you got some new hoes for us?,kassigod drinking away stress got new hoe u
3743.0,1.0,"@KCJHoop pretty sure you meant flight and not flite, dumb ass cracker.",kcjhoop pretty sure meant flight flite dumb as cracker
3744.0,1.0,@KEIRRANicolee I didn't know you was following me hoe &#128514;,keirranicolee didnt know following hoe 128514
3745.0,2.0,"@KHShan @VictorB123 Oh but those last few that did.. Charlie, Wilma, Jeanne...",khshan victorb123 oh last charlie wilma jeanne
3746.0,1.0,@KILLDion @h_christianne politics isn't twitter coon lol,killdion hchristianne politics isnt twitter coon laugh loud
3747.0,1.0,@KILLQuana choke on something hoe,killquana choke something hoe
3748.0,1.0,@KILLQuana lmao cunt,killquana laughing as cunt
3749.0,1.0,@KINGDOMMINDED__ @_lostb0y fuck off my pussy boi bitch,kingdomminded lostb0y fuck pussy boi bitch
3750.0,1.0,@KINGDOMMINDED__ @_lostb0y me bitch im tryna keep a clean track record the fuck bruh,kingdomminded lostb0y bitch im tryna keep clean track record fuck bruh
3751.0,1.0,@KINSL3Y we dont love these hoes,kinsl3y dont love hoe
